Year DJF JFM FMA MAM AMJ MJJ JJA JAS ASO SON OND NDJ
1950 -1.3 -1.2 -1.1 -1.1 -1.1 -0.9 -0.6 -0.6 -0.6 -0.6 -0.7 -0.0
1951 -0.7 -0.4 0.0 0.2 0.3 0.5 0.7 0.9 1.0 1.0 1.0 0.0
1952 0.5 0.3 0.3 0.2 -0.1 -0.4 -0.4 -0.2 0.0 0.0 -0.1 0.0
1953 0.3 0.5 0.5 0.6 0.8 0.7 0.6 0.7 0.6 0.8 0.5 0.0
1954 0.4 0.4 0.0 -0.3 -0.5 -0.5 -0.7 -0.8 -0.7 -0.5 -0.4 -0.0
1955 -0.5 -0.5 -0.6 -0.8 -0.8 -0.9 -0.7 -0.9 -1.1 -1.4 -1.6 -1.0
1956 -1.2 -0.8 -0.6 -0.5 -0.5 -0.5 -0.5 -0.5 -0.4 -0.4 -0.4 -0.0
1957 -0.3 -0.1 0.3 0.6 0.7 0.8 1.0 1.0 1.1 1.2 1.4 1.0
1958 1.7 1.6 1.2 0.8 0.6 0.5 0.4 0.3 0.3 0.3 0.4 0.0
1959 0.6 0.6 0.5 0.4 0.2 0.0 -0.2 -0.2 0.0 0.1 0.2 0.1
1960 0.0 0.0 0.1 0.2 0.0 0.0 0.0 0.2 0.2 0.1 -0.1 -0.0
1961 0.0 0.0 0.0 0.1 0.2 0.2 0.1 -0.2 -0.3 -0.2 -0.1 0.0
1962 -0.2 -0.2 -0.1 -0.2 -0.2 -0.1 0.0 -0.1 -0.2 -0.2 -0.2 -0.0
1963 -0.3 -0.2 0.0 0.1 0.1 0.5 0.8 1.1 1.1 1.1 1.2 1.0
1964 0.9 0.5 0.1 -0.3 -0.6 -0.7 -0.7 -0.7 -0.7 -0.8 -0.8 -0.0
1965 -0.5 -0.2 0.0 0.2 0.5 0.8 1.1 1.3 1.6 1.7 1.8 1.0
1966 1.2 1.0 0.8 0.4 0.2 0.2 0.3 0.1 -0.1 -0.1 -0.2 -0.0
1967 -0.5 -0.5 -0.5 -0.4 -0.1 0.1 0.0 -0.3 -0.4 -0.4 -0.4 -0.0
1968 -0.6 -0.7 -0.6 -0.5 -0.1 0.2 0.4 0.4 0.3 0.5 0.7 0.0
1969 1.0 1.0 0.8 0.7 0.6 0.5 0.4 0.4 0.6 0.7 0.8 0.7
1970 0.5 0.2 0.2 0.3 0.1 -0.3 -0.5 -0.7 -0.7 -0.7 -0.8 -1.0
1971 -1.3 -1.4 -1.1 -0.8 -0.7 -0.7 -0.7 -0.6 -0.7 -0.8 -0.9 -0.0
